folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060180140,15,6,4,6,5,0,81003.91
20060180150,17,6,8,6,6,1,21711.64
20060180150,10,6,8, ,6,1,21711.64
20060180160,6,6,9, ,4,2,119975.88
20060180170,9,6,11, ,4,2,101000.06
20060180180,20,6,8,6,4,0,51855.01
20060180180,18,6,8,6,4,0,51855.01
20060180190,11,6,10, ,5,3,51998.08
20060180190,10,6,10, ,5,3,51998.08
20060180190,7,6,10, ,5,3,51998.08
20060180200,6,6,3, ,6,3,13461.49
20060180200,6,6,3, ,6,3,13461.49
20060180220,12,6,5,6,5,1,42541.12
20060180220,8,6,5, ,5,1,42541.12
20060180230,16,6,3,6,5,1,41351.44
20060180230,13,6,3,6,5,1,41351.44
20060180230,11,6,3, ,5,1,41351.44
20060180240,14,6,3,6,3,0,14165.27
20060180250,10,6,7, ,5,2,27240.6
20060180320,7,6,5, ,4,3,20103.55
20060180330,10,6,6, ,5,3,19835.44
20060180330,9,6,6, ,5,3,19835.44
20060180340,5,6,4, ,8,2,39864.32
20060180350,23,6,5,6,7,2,46326.84
20060180350,17,6,5,6,7,2,46326.84
20060180350,9,6,5, ,7,2,46326.84
20060180360,5,6,3, ,6,4,30435.61
20060180370,41,6,4,5,5,1,27633.85
20060180410,5,6,3, ,5,3,19796.09
20060180430,6,6,4, ,7,3,11979.96
20060180440,5,6,1, ,7,2,19079.28
20060190060,43,6,9,5,5,3,35690.48
20060190060,8,6,9, ,5,3,35690.48
20060190060,5,6,9, ,5,3,35690.48
20060190070,14,6,6,6,6,3,39892.03
20060190070,8,6,6, ,6,3,39892.03
20060190070,7,6,6, ,6,3,39892.03
20060190090,5,6,6, ,5,2,40267.66
20060190090,12,6,6,6,5,2,40267.66
20060190090,11,6,6, ,5,2,40267.66
20060190100,17,6,3,6,5,0,50364.77
20060190110,14,6,5,6,5,2,34141.77
20060190140,20,6,10,6,5,0,200949.7
20060190140,15,6,10,6,5,0,200949.7
20060190140,20,6,10,6,5,0,200949.7
20060190160,5,6,3, ,5,3,22800.53
20060190180,23,6,10,6,4,0,97501.07
20060190180,20,6,10,6,4,0,97501.07
20060190190,7,6,6, ,4,2,27713.51
20060190200,10,6,5, ,5,3,16796.72
20060190200,8,6,5, ,5,3,16796.72
20060190200,7,6,5, ,5,3,16796.72
20060190210,17,6,4,6,4,0,273974.19
20060190210,16,6,4,6,4,0,273974.19
20060190210,15,6,4,6,4,0,273974.19
20060190230,8,6,6, ,6,3,17576.01
20060190230,5,6,6, ,6,3,17576.01
20060190270,50,6,1,6,8,1,10622.44
20060190270,16,6,1,6,8,1,10622.44
20060190270,13,6,1,6,8,1,10622.44
20060190300,27,6,4,6,4,2,10758.1
20060190300,8,6,4, ,4,2,10758.1
20060190350,9,6,4, ,5,1,36965.72
20060190360,12,6,6,6,4,1,15405.37
20060190360,8,6,6, ,4,1,15405.37
20060190370,13,6,3,6,5,1,26885.74
20060190380,6,6,3, ,3,2,16101.06
20060190390,46,6,4,5,6,2,18482.0
20060190390,6,6,4, ,6,2,18482.0
20060190390,5,6,4, ,6,2,18482.0
20060190430,11,6,5, ,7,2,53384.3
20060190430,8,6,5, ,7,2,53384.3
20060190440,21,6,1,1,7,1,28979.45
20060190440,17,6,1,1,7,1,28979.45
20060190441,10,6,5, ,4,2,21640.04
20060190441,8,6,5, ,4,2,21640.04
20060210020,6,6,4, ,5,2,29917.8
20060210020,6,6,4, ,5,2,29917.8
20060210030,44,6,4,5,4,0,71204.36
20060210030,33,6,4,6,4,0,71204.36
20060210060,9,6,3, ,5,3,23656.0
20060210080,11,6,7, ,4,2,12216.44
20060210100,7,6,4, ,6,2,18598.44
20060210120,7,6,4, ,5,1,31862.46
20060210130,23,6,6,6,3,0,50339.69
20060210150,7,6,7, ,4,2,36539.61
20060210160,14,6,5,6,3,0,21191.78
20060210160,19,6,5,6,3,0,21191.78
20060210170,12,6,5,6,5,2,26083.33
20060210170,10,6,5, ,5,2,26083.33
20060210170,8,6,5, ,5,2,26083.33
20060210220,10,6,3, ,5,3,13762.2
20060210220,6,6,3, ,5,3,13762.2
20060210250,6,6,4, ,4,1,14410.39
20060210260,7,6,6, ,5,2,14891.6
20060210270,6,6,4, ,3,1,17754.21
20060210280,9,6,4, ,6,2,22004.55
20060210290,12,6,4,6,6,1,25132.96
20060210310,8,6,3, ,3,2,22712.6
20060210310,6,6,3, ,3,2,22712.6
20060210320,14,6,5,6,3,0,79730.94
20060210340,13,6,8,6,4,1,36898.62
20060210340,9,6,8, ,4,1,36898.62
20060210360,11,6,5, ,4,2,69708.47
20060210360,6,6,5, ,4,2,69708.47
20060210370,9,6,7, ,5,2,55198.34
20060210390,6,6,7, ,4,2,24233.42
20060210400,8,6,6, ,4,2,77786.28
20060210400,7,6,6, ,4,2,77786.28
20060210410,14,6,5,6,5,2,40787.93
20060210410,7,6,5, ,5,2,40787.93
20060210430,9,6,3, ,5,3,24128.7
20060210430,7,6,3, ,5,3,24128.7
20060210440,12,6,5,6,5,2,29937.74
20060210440,8,6,5, ,5,2,29937.74
20060210450,11,6,3, ,8,4,97457.24
20060210450,7,6,3, ,8,4,97457.24
20060210460,12,6,9,6,5,2,69409.3
20060210460,8,6,9, ,5,2,69409.3
20060210460,5,6,9, ,5,2,69409.3
20060210530,9,6,4, ,4,2,21079.59
20060210530,7,6,4, ,4,2,21079.59
20060210570,16,6,3,6,7,0,121167.09
